x,y,z,id
0.18,0.04,1.0,0
0.18,0.09,1.03,0
0.18,0.11,1.02,0
0.18,0.09,0.97,0
0.18,0.07,0.95,0
0.18,0.04,0.96,0
0.18,0.05,0.99,0
0.18,0.08,1.03,0
0.18,0.1,1.01,0
0.18,0.1,0.97,0
0.18,0.07,0.98,0
0.17,0.06,1.02,0
0.16,0.12,1.14,0
0.15,0.17,1.18,0
0.13,0.26,1.23,0
0.09,0.38,1.23,0
0.03,0.93,1.25,0
0.07,1.31,1.36,0
0.13,1.7,1.84,0
0.04,1.52,1.95,0
-0.3,0.43,1.16,0
-0.53,-0.38,0.44,0
-1.37,-2.64,-0.53,0
-1.56,-3.74,-0.67,0
-1.05,-4.0,-0.58,0
-1.0,-4.0,-0.38,0
-2.62,-1.5,0.42,0
-3.8,0.97,1.0,0
-3.96,4.0,3.07,0
-2.68,4.0,3.97,0
-0.13,3.96,3.72,0
-0.62,3.57,2.61,0
-2.67,0.63,0.51,0
-3.0,-1.05,0.04,0
-1.98,-3.45,-0.34,0
-1.1,-4.0,-0.5,0
0.05,-3.75,-0.62,0
0.0,-2.67,-0.38,0
-0.58,-0.12,0.65,0
-0.66,0.75,1.22,0
-0.27,1.87,2.11,0
0.21,2.3,2.29,0
0.25,2.06,2.01,0
0.07,0.81,1.17,0
0.01,0.19,0.88,0
0.06,-0.62,0.63,0
0.11,-0.85,0.6,0
0.17,-0.93,0.6,0
0.19,-0.73,0.63,0
0.21,-0.05,0.81,0
0.21,0.22,0.93,0
0.19,0.49,1.17,0
0.19,0.53,1.25,0
0.2,0.45,1.27,0
0.2,0.34,1.2,0
0.21,0.09,1.0,0
0.2,0.01,0.93,0
0.19,-0.04,0.87,0
0.2,-0.03,0.86,0
0.2,0.04,0.93,0
0.2,0.09,0.99,0
0.2,0.16,1.07,0
0.2,0.18,1.07,0
0.2,0.17,1.03,0
0.2,0.15,0.99,0
0.2,0.08,0.95,0
0.2,0.04,0.94,0
0.2,0.01,0.92,0
0.19,0.03,0.93,0
0.2,0.09,0.97,0
0.2,0.12,1.01,0
0.19,0.15,1.06,0
0.19,0.14,1.05,0
0.19,0.09,0.98,0
0.19,0.04,0.91,0
0.19,0.05,0.92,0
0.19,0.1,0.98,0
0.19,0.12,1.01,0
0.19,0.15,1.05,0
0.19,0.14,1.05,0
0.19,0.09,0.99,0
0.19,0.06,0.94,0
0.19,0.04,0.89,0
0.19,0.04,0.91,0
0.18,0.09,0.96,0
0.18,0.12,0.98,0
0.18,0.16,1.02,0
0.18,0.16,1.04,0
0.17,0.13,1.06,0
0.17,0.12,1.06,0
0.17,0.11,1.03,0
0.17,0.13,1.0,0
0.17,0.14,0.94,0
0.17,0.13,0.93,0
0.17,0.11,0.97,0
0.17,0.11,1.02,0
0.17,0.15,1.07,0
0.17,0.16,1.05,0
0.17,0.15,0.96,0
0.17,0.13,0.93,0
0.18,0.06,0.95,1
0.17,0.08,0.97,1
0.17,0.09,1.0,1
0.17,0.11,1.03,1
0.17,0.12,1.01,1
0.18,0.12,0.98,1
0.18,0.11,0.98,1
